id,position,form,team,price,pp_million,pp_mil_per_90,total_points,gw_points,minutes,bonus,goals_scored,assists,goals_conceded,own_goals,clean_sheets,saves,yellow_cards,red_cards,value_form,points_per_game,selected_by_percent,element_type,Name,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,9_xPts,10_xPts,11_xPts,12_xPts,13_xPts,total_xM,total_xP
1,Defender,0.0,Arsenal,4.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,2,Cedric,4.59,2.13,1.32,0.0,2.84,0.26,0.12,0.09,0.0,0.18,10.88,0.64
3,Midfielder,5.3,Arsenal,5.1,7.8,0.98,40,9,717,4,2,3,8,0,3,0,2,0,1.0,5.0,3.3,3,Xhaka,82.01,84.55,84.55,0.0,84.55,2.57,2.44,2.91,0.0,2.85,335.65,10.76
4,Midfielder,0.0,Arsenal,4.3,0.5,0.5,2,0,90,0,0,0,1,0,0,0,0,0,0.0,2.0,0.7,3,Elneny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Defender,0.0,Arsenal,4.2,0.5,15.0,2,0,3,0,0,0,0,0,0,0,0,0,0.0,1.0,0.1,2,Holding,3.06,3.16,3.16,0.0,3.16,0.27,0.27,0.28,0.0,0.29,12.54,1.1
6,Midfielder,4.3,Arsenal,4.8,4.4,0.95,21,10,419,3,1,0,3,0,3,0,0,0,0.9,4.2,0.3,3,Partey,65.47,67.5,82.14,0.0,82.14,2.26,2.14,3.14,0.0,3.05,297.26,10.6
7,Midfielder,1.3,Arsenal,6.5,5.5,0.86,36,2,575,6,3,0,7,0,2,0,1,0,0.2,5.1,15.0,3,Odegaard,76.29,78.65,78.65,0.0,78.65,3.47,3.16,4.24,0.0,4.07,312.23,14.94
8,Defender,2.3,Arsenal,4.8,2.9,0.94,14,1,279,0,0,0,2,0,1,0,0,0,0.5,2.0,0.9,2,Tierney,24.51,26.84,19.74,0.0,29.47,1.42,1.43,1.33,0.0,1.56,100.56,5.74
10,Defender,4.0,Arsenal,4.5,7.6,1.06,34,5,644,3,0,1,7,0,4,0,2,0,0.9,4.2,5.5,2,B White,70.83,73.02,73.02,0.0,73.02,2.6,2.33,2.85,0.0,2.92,289.9,10.7
11,Forward,1.0,Arsenal,6.6,1.2,1.1,8,1,98,0,0,0,1,0,0,0,0,0,0.2,1.0,0.3,4,Nketiah,24.81,25.58,24.63,0.0,23.36,1.77,1.68,2.04,0.0,1.9,98.38,7.39
12,Midfielder,0.3,Arsenal,5.6,0.7,1.34,4,0,47,0,0,0,1,0,0,0,0,0,0.1,1.0,0.5,3,Smith Rowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Midfielder,6.0,Arsenal,7.8,5.0,0.64,39,2,707,1,1,5,8,0,3,0,1,0,0.8,4.9,11.5,3,Saka,77.98,80.4,80.4,0.0,80.4,3.99,3.63,4.87,0.0,4.65,319.17,17.15
14,Defender,1.0,Arsenal,4.2,1.4,1.75,6,1,72,0,0,0,1,0,0,0,1,0,0.2,0.9,0.7,2,Tomiyasu,26.04,26.84,26.84,0.0,26.84,1.43,1.36,1.55,0.0,1.57,106.56,5.9
15,Goalkeeper,3.3,Arsenal,4.9,5.5,0.69,27,2,720,0,0,0,8,0,3,15,0,0,0.7,3.4,10.6,1,Ramsdale,84.8,87.43,87.43,0.0,87.43,3.23,2.9,4.1,0.0,4.1,347.09,14.33
16,Defender,3.0,Arsenal,5.1,6.9,0.86,35,2,720,3,1,0,8,0,3,0,0,0,0.6,4.4,10.8,2,Gabriel,81.37,83.89,83.89,0.0,83.89,3.25,2.93,3.56,0.0,3.62,333.05,13.36
18,Midfielder,1.3,Arsenal,4.4,1.8,0.83,8,1,195,0,0,0,3,0,0,0,0,0,0.3,1.3,0.3,3,Lokonga,26.8,27.63,11.37,0.0,11.37,0.81,0.78,0.37,0.0,0.37,77.17,2.33
19,Midfielder,3.0,Arsenal,6.6,6.5,0.85,43,4,691,4,3,2,8,0,3,0,1,0,0.5,5.4,46.9,3,Martinelli,74.59,76.9,76.9,0.0,76.9,4.06,3.66,5.03,0.0,4.78,305.29,17.52
23,Midfielder,0.0,Arsenal,4.8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,Nelson,0.26,0.26,0.26,0.0,0.26,0.02,0.02,0.02,0.0,0.02,1.04,0.08
24,Goalkeeper,0.0,Arsenal,3.9,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,1,Turner,2.3,2.37,2.37,0.0,2.37,0.08,0.07,0.1,0.0,0.1,9.41,0.36
25,Midfielder,4.0,Arsenal,5.7,2.1,1.63,12,1,116,2,1,0,1,0,1,0,0,0,0.7,4.0,0.2,3,Vieira,21.44,22.11,23.68,0.0,23.68,1.44,1.37,1.73,0.0,1.67,90.92,6.22
26,Defender,5.3,Arsenal,4.9,9.2,1.15,45,1,720,9,2,1,8,1,3,0,3,0,1.1,5.6,26.1,2,Saliba,80.11,82.58,82.58,0.0,82.58,2.91,2.65,3.11,0.0,3.21,327.86,11.87
27,Midfielder,0.3,Arsenal,4.7,0.2,18.0,1,0,1,0,0,0,0,0,0,0,0,0,0.1,1.0,0.1,3,Marquinhos,0.05,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.21,0.02
28,Forward,5.0,Arsenal,8.0,5.9,0.77,47,8,689,6,5,3,8,0,3,0,4,0,0.6,5.9,69.4,4,Jesus,68.94,71.07,72.5,0.0,73.53,3.84,3.41,5.04,0.0,4.83,286.04,17.12
313,Defender,1.0,Arsenal,5.1,4.3,0.98,22,2,393,3,0,1,5,0,2,0,0,0,0.2,4.4,12.2,2,Zinchenko,63.07,65.02,73.02,0.0,60.07,2.65,2.38,3.34,0.0,2.81,261.19,11.18
607,Midfielder,0.0,Arsenal,4.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,3,M Smith,0.05,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.21,0.01
630,Midfielder,0.5,Arsenal,4.5,0.2,18.0,1,0,1,0,0,0,0,0,0,0,0,0,0.1,1.0,0.0,3,Nwaneri,0.38,0.39,0.39,0.0,0.39,0.03,0.03,0.04,0.0,0.04,1.57,0.14
631,Defender,0.0,Arsenal,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,Sousa,0.38,0.39,0.39,0.0,0.39,0.03,0.03,0.04,0.0,0.04,1.57,0.14
29,Midfielder,2.5,Aston Villa,6.7,1.9,0.39,13,3,437,0,0,0,3,0,3,0,2,0,0.4,1.6,4.3,3,Coutinho,50.69,48.94,48.94,48.94,48.94,3.26,3.1,2.57,2.98,3.23,246.44,15.14
30,Forward,1.0,Aston Villa,6.7,1.9,0.65,13,1,263,1,1,0,3,0,1,0,2,0,0.1,1.9,1.0,4,Ings,42.36,42.36,42.36,42.36,42.36,2.79,2.74,2.23,2.62,2.8,211.79,13.17
31,Goalkeeper,6.0,Aston Villa,4.9,6.9,0.86,34,6,720,2,0,0,10,0,2,23,0,0,1.2,4.2,5.1,1,E Martinez,87.8,87.81,87.81,87.81,87.81,4.0,4.44,3.4,4.02,4.06,439.04,19.92
32,Defender,0.0,Aston Villa,4.3,0.7,0.69,3,0,91,0,0,0,1,0,0,0,0,0,0.0,1.5,0.2,2,C Chambers,24.63,17.05,14.74,12.89,12.89,0.89,0.71,0.53,0.5,0.56,82.21,3.19
33,Defender,3.5,Aston Villa,4.7,2.6,0.37,12,0,630,1,0,0,10,1,1,0,2,0,0.7,1.7,1.8,2,Digne,0.0,0.0,16.84,39.5,62.17,0.0,0.0,0.67,1.63,3.01,118.51,5.31
35,Goalkeeper,0.0,Aston Villa,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,1,Olsen,1.84,1.84,1.84,1.84,1.84,0.07,0.08,0.07,0.07,0.08,9.21,0.36
36,Midfielder,0.0,Aston Villa,4.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,3,Sanson,0.26,0.26,0.26,0.26,0.26,0.02,0.02,0.02,0.02,0.02,1.32,0.1
37,Midfielder,3.0,Aston Villa,5.2,3.1,0.42,16,3,658,0,0,0,9,0,2,0,2,0,0.6,2.0,0.8,3,McGinn,80.4,80.4,80.4,80.4,80.4,3.11,3.12,2.66,2.99,3.21,401.98,15.08
39,Defender,7.5,Aston Villa,4.3,4.9,0.82,21,6,540,3,0,0,7,0,2,0,0,0,1.7,3.5,3.8,2,Mings,81.5,81.5,81.5,81.5,81.5,2.84,3.3,2.87,3.02,3.44,407.5,15.47
40,Forward,2.0,Aston Villa,7.2,3.9,0.54,28,2,654,3,1,2,9,0,2,0,0,0,0.3,3.5,2.1,4,Watkins,75.15,75.15,75.15,75.15,75.15,4.33,4.18,3.32,4.0,4.33,375.76,20.15
41,Midfielder,0.0,Aston Villa,4.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,3,Nakamba,1.05,1.05,1.05,1.05,1.05,0.07,0.07,0.07,0.07,0.07,5.26,0.34
42,Midfielder,1.0,Aston Villa,5.8,2.9,0.89,17,1,293,2,1,0,7,0,0,0,0,0,0.2,2.1,0.4,3,Buendia,42.82,42.82,42.82,42.82,42.82,2.68,2.63,2.21,2.54,2.73,214.11,12.79
43,Defender,0.0,Aston Villa,4.6,1.3,0.25,6,0,476,0,0,0,9,0,0,0,2,0,0.0,1.0,4.4,2,Cash,0.0,39.5,62.17,78.5,84.55,0.0,1.63,2.26,3.06,3.77,264.71,10.73
44,Defender,6.5,Aston Villa,4.4,4.5,0.64,20,6,631,1,0,0,9,0,2,0,1,0,1.5,2.5,0.3,2,Konsa,80.64,80.64,80.64,80.64,80.64,2.8,3.24,2.73,2.95,3.35,403.21,15.07
